patch_id,n_observations,n_bands,height,width,n_valid_pixels,n_unique_classes
30003,46,10,128,128,15572,8
30013,46,10,128,128,13186,10
30014,46,10,128,128,15152,5
30023,46,10,128,128,15483,8
30026,46,10,128,128,14488,9
30033,46,10,128,128,15280,10
30048,46,10,128,128,15053,11
30052,46,10,128,128,14981,9
30057,46,10,128,128,14971,9
30059,46,10,128,128,14594,8
30062,46,10,128,128,14307,10
30066,46,10,128,128,14725,9
30078,46,10,128,128,14624,9
30084,46,10,128,128,15550,8
30087,46,10,128,128,15448,11
30091,46,10,128,128,15167,9
30109,46,10,128,128,15345,8
30115,46,10,128,128,14374,10
30122,46,10,128,128,14482,8
30123,46,10,128,128,15437,10
30129,46,10,128,128,15231,8
30140,46,10,128,128,13217,7
30146,46,10,128,128,14349,9
30151,46,10,128,128,14255,8
30152,46,10,128,128,15056,8
30165,46,10,128,128,14393,8
30173,46,10,128,128,14728,9
30175,46,10,128,128,14450,9
30178,46,10,128,128,15140,6
30182,46,10,128,128,15096,8
30187,46,10,128,128,15719,9
30193,46,10,128,128,14328,9
30204,46,10,128,128,15292,9
30209,46,10,128,128,15899,8
30216,46,10,128,128,15097,10
30227,46,10,128,128,15288,9
30241,46,10,128,128,14711,10
30244,46,10,128,128,15166,8
30255,46,10,128,128,14624,9
30256,46,10,128,128,14426,8
30260,46,10,128,128,14786,8
30264,46,10,128,128,13218,7
30265,46,10,128,128,15277,9
30273,46,10,128,128,14960,8
30274,46,10,128,128,14257,7
30275,46,10,128,128,13992,8
30283,46,10,128,128,15859,7
30297,46,10,128,128,14363,8
30302,46,10,128,128,15541,11
30323,46,10,128,128,15403,8
30328,46,10,128,128,15039,8
30329,46,10,128,128,15654,9
30333,46,10,128,128,14967,9
30335,46,10,128,128,15580,9
30359,46,10,128,128,15226,7
30361,46,10,128,128,15230,8
30362,46,10,128,128,14954,8
30368,46,10,128,128,15787,7
30371,46,10,128,128,15730,7
30381,46,10,128,128,15261,9
30383,46,10,128,128,15778,7
30407,46,10,128,128,15004,8
30410,46,10,128,128,15179,8
30417,46,10,128,128,15185,8
30418,46,10,128,128,15230,7
30422,46,10,128,128,15528,8
30425,46,10,128,128,16223,8
30436,46,10,128,128,14024,8
30438,46,10,128,128,14256,8
30452,46,10,128,128,15111,8
30459,46,10,128,128,14542,9
30464,46,10,128,128,14672,8
30477,46,10,128,128,11605,8
30495,46,10,128,128,15784,8
30503,46,10,128,128,16302,6
30527,46,10,128,128,15690,4
30542,46,10,128,128,14781,8
30545,46,10,128,128,14387,8
30549,46,10,128,128,15057,8
30558,46,10,128,128,15016,7
30569,46,10,128,128,15198,7
30570,46,10,128,128,14412,7
30583,46,10,128,128,15792,7
30586,46,10,128,128,15690,5
30595,46,10,128,128,15740,7
30599,46,10,128,128,15043,8
30602,46,10,128,128,14500,7
30608,46,10,128,128,15141,8
30612,46,10,128,128,15863,7
30621,46,10,128,128,15263,7
30638,46,10,128,128,14323,8
30641,46,10,128,128,13843,5
30652,46,10,128,128,15819,5
30657,46,10,128,128,15695,8
30662,46,10,128,128,15100,6
30672,46,10,128,128,14907,8
30688,46,10,128,128,15559,9
30689,46,10,128,128,15434,6
30694,46,10,128,128,14844,9
30705,46,10,128,128,15655,8
30726,46,10,128,128,14128,6
30732,46,10,128,128,14010,8
